ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
1080.0000000933044,55.10372794313395,0.0441393302005008,15.0,5.0,21.6,5.0
1080.0000000933044,55.10372794313395,0.0587633400859895,5.0,15.0,5.0,21.6
617.1428571961741,54.090525049238025,0.3917234846941561,20.0,15.0,29.9,29.9
617.1428571961741,54.090525049238025,0.3952223119074359,15.0,20.0,29.9,29.9
1440.0000001244061,54.07930055739951,0.1510810691431631,10.0,5.0,29.9,29.9
1440.0000001244061,54.07930055739951,0.1628765086375759,5.0,10.0,29.9,29.9
617.1428571961741,53.9975133752251,0.1541627237934349,20.0,15.0,29.9,5.0
617.1428571961741,53.9975133752251,0.1541435060948154,15.0,20.0,5.0,29.9
1440.0000001244061,53.98629728883434,0.0703373230748517,5.0,10.0,5.0,29.9
1440.0000001244061,53.98629728883434,0.0659829910171006,10.0,5.0,29.9,5.0
864.0000000746437,53.87933186510817,0.0775581499089896,5.0,20.0,5.0,13.3
864.0000000746437,53.87933186510817,0.0630542075371538,20.0,5.0,13.3,5.0
864.0000000746437,53.836900098030085,0.1204473687893161,20.0,5.0,13.3,29.9
864.0000000746437,53.836900098030085,0.1213335724806927,5.0,20.0,29.9,13.3
864.0000000746437,52.86202249703115,0.2110648731930966,15.0,10.0,21.6,29.9
864.0000000746437,52.86202249703115,0.2157753248034341,10.0,15.0,29.9,21.6
864.0000000746437,52.84888754113511,0.1630932770508877,10.0,15.0,13.3,29.9
864.0000000746437,52.84888754113511,0.1657682766592454,15.0,10.0,29.9,13.3
864.0000000746437,52.83758737547936,0.1733592692182896,10.0,15.0,21.6,29.9
864.0000000746437,52.83758737547934,0.1763208878160664,15.0,10.0,29.9,21.6
1080.0000000933044,52.50071234155188,0.4341450260262685,10.0,10.0,29.9,29.9
720.0000000622031,52.50071234155188,0.4596441258872606,15.0,15.0,29.9,29.9
617.1428571961741,52.36630003223806,0.2853139455055798,15.0,20.0,21.6,29.9
617.1428571961741,52.36630003223806,0.2715392999642453,20.0,15.0,29.9,21.6
1440.0000001244061,52.36248436756422,0.1694409405435106,10.0,5.0,29.9,21.6
1440.0000001244061,52.36248436756422,0.1690590779845815,5.0,10.0,21.6,29.9
617.1428571961741,52.359803210204056,0.197086669156498,20.0,15.0,29.9,13.3
617.1428571961741,52.359803210204056,0.1988673612600406,15.0,20.0,13.3,29.9
1440.0000001244061,52.355989701224246,0.1261941425328855,5.0,10.0,13.3,29.9
1440.0000001244061,52.355989701224246,0.126873246446406,10.0,5.0,29.9,13.3
864.0000000746437,52.210201735131186,0.088674320417779,5.0,20.0,21.6,13.3
864.0000000746437,52.210201735131186,0.0898910796591338,20.0,5.0,13.3,21.6
864.0000000746437,52.19513573240251,0.0773443396955606,5.0,20.0,13.3,13.3
864.0000000746437,52.19513573240251,0.0698669469030378,20.0,5.0,13.3,13.3
864.0000000746437,48.30365038711207,0.1610071335426623,15.0,10.0,29.9,29.9
864.0000000746437,48.30365038711207,0.1678060006913194,10.0,15.0,29.9,29.9
1080.0000000933044,48.055890957750975,0.0365732464309454,15.0,5.0,29.9,13.3
